domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display display display,imag display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,project scheme,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,display system way,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system,imag imag display,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,idea method imag,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,project scheme,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,display system way,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display system,imag imag display,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),display system project,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag project scheme,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag system project,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,system project process,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,method enhanc imag,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag system,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,enhanc imag,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,imag set,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,method enhanc,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag project,enhanc imag system,1,0.0,2017.0,,1757c85e-3797-4a98-9aa9-c2f9e6bc7f2a
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display display display,1,0.0,2014.0,,c7e7885a-0dff-4e8b-b4d3-0522df234032
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,idea method imag,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,project scheme,1,0.0,2015.0,,ee598b96-59d2-47b9-acff-a31f42a22802
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display vaeiid system,1,0.0,2015.0,,ec3127cd-2f51-436b-8919-f98cb170020d
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,vaeiid system project,1,0.0,2015.0,,ec3127cd-2f51-436b-8919-f98cb170020d
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,scheme imag gener,1,0.0,2015.0,,ec3127cd-2f51-436b-8919-f98cb170020d
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,system project ttsp,1,0.0,2015.0,,ec3127cd-2f51-436b-8919-f98cb170020d
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,display system way,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag display,imag imag display,1,0.0,2019.0,,bb76fda7-e543-4309-92c0-5d1ec2060c79
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),projectiontyp imag display,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,system project imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),project imag method,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,project imag method,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,imag display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,projectiontyp imag,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,display system,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,display system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),system project imag,system project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag method,projectiontyp imag display,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag method,method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag method,imag project,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
Multimedia(79.15%) | Neural and Evolutionary Computing(53.52%) | Symbolic Computation(52.2%),imag method,imag method paper,1,0.0,2013.0,,9a600148-6295-487f-b859-c57b95dc7df8
