domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network play,rout protocol,1,0.0,2015.0,,5da9aeeb-f393-4aa3-bb84-7847f828eb06
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,perform wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,culprit network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network,wireless network mwn,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,multipath rout,1,0.0,2014.0,,d845f8e1-754c-40fc-8004-547f093a42de
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,network play,1,0.0,2015.0,,5da9aeeb-f393-4aa3-bb84-7847f828eb06
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,network storeandforward,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol,protocol delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol wireless,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol wireless network,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network demand,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,protocol wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,rout protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,rout protocol,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,wireless network,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,wireless network demand,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network demand,protocol wireless,1,0.0,2012.0,,90395ccd-129f-4a5e-9be1-d50c2d96d661
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),multipath rout,rout protocol,1,0.0,2014.0,,d845f8e1-754c-40fc-8004-547f093a42de
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network role,network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network role,wireless network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network role,role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network role,network role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role network,network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role network,wireless network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role network,wireless network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role network,role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role,wireless network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role,wireless network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role,role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network role,network role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),role network,network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),role network,wireless network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),role network,wireless network role,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),role network,network role network,1,0.0,2018.0,,eda29650-ba54-4c27-8b86-22af76cfba2e
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network storeandforward,delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network storeandforward,rout protocol,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network storeandforward,protocol delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),delaytoler network,rout protocol,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),delaytoler network,network storeandforward,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),delaytoler network,protocol delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol delaytoler network,delaytoler network,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol delaytoler network,rout protocol,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),protocol delaytoler network,network storeandforward,1,0.0,2018.0,,09ba5bec-80a2-4516-8106-c8e46f04f82b
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless,network resourc,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless,perform wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless,culprit network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless,wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless,wireless network mwn,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless network,network resourc,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless network,perform wireless,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless network,culprit network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless network,wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),perform wireless network,wireless network mwn,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),culprit network,network resourc,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),culprit network,perform wireless,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),culprit network,perform wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),culprit network,wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),culprit network,wireless network mwn,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network resourc,perform wireless,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network resourc,perform wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network resourc,culprit network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network resourc,wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),network resourc,wireless network mwn,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network mwn,network resourc,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network mwn,perform wireless,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network mwn,perform wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network mwn,culprit network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),wireless network mwn,wireless network,1,0.0,2019.0,,bde5a8cc-db70-4eaa-8e1d-d95b7f4a9d19
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,medium access,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,control mac,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,rout protocol network,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,mac rout,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,access control mac,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,number system,1,0.0,2018.0,,9ad401a0-02f6-4653-8823-285734fd1e08
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,mac protocol,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,protocol network characterist,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,control mac protocol,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),access control,mac protocol network,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),mac rout,medium access,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),mac rout,control mac,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),mac rout,rout protocol network,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),mac rout,access control,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),mac rout,access control mac,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,medium access,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,rout protocol network,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,access control,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,mac rout,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,access control mac,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,mac protocol,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,protocol network characterist,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,control mac protocol,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),control mac,mac protocol network,1,0.0,2018.0,,d5098084-56ae-442d-8da9-caec4bfea06c
Neural and Evolutionary Computing(80.34%) | Networking and Internet Architecture(78.77%) | Social and Information Networks(63.6%),rout protocol network,medium access,1,0.0,2011.0,,6d9fc80b-2902-4339-a599-36e25f6be3d6
