domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),forc microscop,tube scanner pt,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,design implement,1,0.0,2013.0,,97765de9-74cb-466b-8178-45e223b55217
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,control mode tube,1,0.0,2014.0,,a07c4868-d86a-4ba4-9331-cf51171a8496
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,scanner pt,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,pt forc,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,design control framework,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),scanner pt forc,design control,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,scanner pt forc,1,0.0,2012.0,,91ea42b8-ce35-4fef-b711-c5e27bd6938e
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,tube scanner,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,forc microscop,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,control tube scanner,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,veloc feedback control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,paper design control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,control control veloc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,paper design implement,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,design implement,1,0.0,2013.0,,97765de9-74cb-466b-8178-45e223b55217
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,reson control,1,0.0,2014.0,,6b3e0fac-c6d7-45ef-abb1-a4c69fbe89c6
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,control mode tube,1,0.0,2014.0,,a07c4868-d86a-4ba4-9331-cf51171a8496
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,scanner pt,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,pt forc,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,design control framework,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner pt,design control,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,tube scanner pt,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,forc microscop,1,0.0,2012.0,,2305934a-a2f7-4e0f-aa81-9af9b569fc27
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,scanner pt forc,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,design implement control,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,control tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,paper design implement,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,design implement,1,0.0,2013.0,,97765de9-74cb-466b-8178-45e223b55217
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,reson control,1,0.0,2014.0,,6b3e0fac-c6d7-45ef-abb1-a4c69fbe89c6
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,control mode tube,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,scanner pt,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,pt forc,1,0.0,2014.0,,01913c4c-1d0d-421d-bf34-5c94025e8edf
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,design control framework,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),tube scanner,design control,1,0.0,2015.0,,79c1e8b9-6558-453b-b148-8275f1e2a1ef
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,multioutput control control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,paper design implement,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,veloc feedback control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,scanner pt forc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control control veloc,tube scanner pt,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,multioutput control control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,control control veloc,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,paper design implement,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,scanner pt forc,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,control tube scanner,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,tube scanner pt,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,paper design control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),veloc feedback control,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),multioutput control control,control control veloc,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),multioutput control control,paper design implement,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),multioutput control control,veloc feedback control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,multioutput control control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,control control veloc,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,veloc feedback control,1,0.0,2013.0,,f961d451-e0c9-4dbe-acb1-d94b11a38fa4
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,scanner pt forc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,tube scanner pt,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,control tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,design implement,1,0.0,2013.0,,97765de9-74cb-466b-8178-45e223b55217
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,power factor system,1,0.0,2019.0,,ba962627-aae6-4a0e-9596-4b98e892618c
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design implement,power factor,1,0.0,2019.0,,ba962627-aae6-4a0e-9596-4b98e892618c
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,scanner pt forc,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,control tube scanner,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,tube scanner pt,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,veloc feedback control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,control microgrid,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,voltag control microgrid,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,design control,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,voltag control,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,load load,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,design control voltag,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,load load load,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design control,paper design,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,scanner pt forc,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,tube scanner pt,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,veloc feedback control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,paper design control,1,0.0,2013.0,,34e7cd05-7336-4ab4-840d-53277b1907e0
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,design implement control,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,paper design implement,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),control tube scanner,tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,scanner pt forc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,design implement control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,veloc feedback control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,tube scanner pt,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,control control veloc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),architectur control control,paper design implement,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,architectur control control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,scanner pt forc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,veloc feedback control,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,tube scanner pt,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,control control veloc,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,paper design implement,1,0.0,2013.0,,92634ca1-8bd7-477a-a577-2123c255dc74
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,control tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,paper design,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),design implement control,tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control simulink,1,0.0,2011.0,,17e560d4-6a5f-493e-956b-cd64f9843294
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,feedback control,1,0.0,2011.0,,17e560d4-6a5f-493e-956b-cd64f9843294
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,scanner pt forc,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,design implement control,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,tube scanner pt,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,paper design implement,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,tube scanner,1,0.0,2013.0,,69b14c5c-ada1-4ae5-b9ed-228536cf6186
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,design implement,1,0.0,2013.0,,97765de9-74cb-466b-8178-45e223b55217
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control speed control,1,0.0,2016.0,,eb473c7e-1fe7-4bb8-988e-4234ebd44301
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control speed,1,0.0,2016.0,,eb473c7e-1fe7-4bb8-988e-4234ebd44301
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,linear control,1,0.0,2016.0,,eb473c7e-1fe7-4bb8-988e-4234ebd44301
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,paper design feedback,1,0.0,2016.0,,eb473c7e-1fe7-4bb8-988e-4234ebd44301
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control microgrid,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,voltag control microgrid,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,design control,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,voltag control,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,load load,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,design control voltag,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,load load load,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,paper design control,1,0.0,2017.0,,5dfcf3de-7059-460a-abde-a9670cf797a1
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,model control voltag,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,design model control,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,control voltag,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,paper design model,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,perform microgrid,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,model control,1,0.0,2017.0,,53f8e173-a694-4fe6-8a75-50cb442b00ba
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,pid control,1,0.0,2017.0,,6cf002b6-5e6d-4beb-9f6e-a0c32267a15b
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,load dynam,1,0.0,2017.0,,6cf002b6-5e6d-4beb-9f6e-a0c32267a15b
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,power factor system,1,0.0,2019.0,,ba962627-aae6-4a0e-9596-4b98e892618c
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,power factor,1,0.0,2019.0,,ba962627-aae6-4a0e-9596-4b98e892618c
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,model control mpc,1,0.0,2019.0,,0712f344-09b5-49d0-858d-6540ff3a0da2
Systems and Control(97.21%) | Cryptography and Security(54.4%) | Other Computer Science(54.36%),paper design,time model control,1,0.0,2019.0,,0712f344-09b5-49d0-858d-6540ff3a0da2
