domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",servic research,research problem,1,0.0,2021.0,,078d1a49-9a4b-42f1-a68d-ebb38076bc09
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,automaton algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,optim problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,wireless sensor network,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,problem wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",algorithm optim problem,sensor network,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,algorithm optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,optim problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,wireless sensor network,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,problem wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,sensor network,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",automaton algorithm optim,sensor network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,lifetim wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,lifetim wireless,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,system wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,research problem,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,goal coverag network,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network connect sensor,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,automaton algorithm,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor wireless sensor,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor wireless,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,advanc sensor,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor technolog,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,algorithm optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,automaton algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,optim problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,problem wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,set sensor network,1,0.0,2014.0,,1c530362-ee89-4596-8117-d3ce8ef9e334
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,set sensor,1,0.0,2014.0,,1c530362-ee89-4596-8117-d3ce8ef9e334
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,applic wireless sensor,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,applic wireless,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,advent sensor,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network aspect network,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor network model,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network model,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network aspect,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor network aspect,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,aspect network,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,algorithm wireless sensor,1,0.0,2015.0,,76391371-da92-4315-a385-b1489ea01f2e
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,commun capabl network,1,0.0,2016.0,,1b3e58b4-1982-4ca8-bdc7-0847295cf701
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,problem set,1,0.0,2016.0,,1b3e58b4-1982-4ca8-bdc7-0847295cf701
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,sensor network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,energi sensor,1,0.0,2018.0,,9706a77d-4160-473e-a03e-70f0e7135129
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,role wireless network,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,network term,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor network,wireless network,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,lifetim wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,lifetim wireless,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,wireless sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",system wireless sensor,research problem,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,lifetim wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,lifetim wireless,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,system wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,wireless sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,research problem,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,advanc sensor,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,sensor technolog,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,algorithm optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,optim problem,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,automaton algorithm optim,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,optim problem wireless,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,problem wireless sensor,1,0.0,2012.0,,2dfafea9-f4b4-4dfa-9687-748c29f57d5b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,set sensor network,1,0.0,2014.0,,1c530362-ee89-4596-8117-d3ce8ef9e334
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,set sensor,1,0.0,2014.0,,1c530362-ee89-4596-8117-d3ce8ef9e334
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,applic wireless sensor,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,applic wireless,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,advent sensor,1,0.0,2014.0,,1cbd360e-5b2c-48b1-86c7-c811ce4f4da2
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,network aspect network,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,sensor network model,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,network model,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,network aspect,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,sensor network aspect,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,aspect network,1,0.0,2015.0,,293165b8-973a-4629-8b8e-ca16b1565d58
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,algorithm wireless sensor,1,0.0,2015.0,,76391371-da92-4315-a385-b1489ea01f2e
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,commun capabl network,1,0.0,2016.0,,1b3e58b4-1982-4ca8-bdc7-0847295cf701
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,problem set,1,0.0,2016.0,,1b3e58b4-1982-4ca8-bdc7-0847295cf701
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,sensor network automata,1,0.0,2017.0,,d57893ca-012b-4f09-88d0-c82c39e4c98f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,energi sensor,1,0.0,2018.0,,9706a77d-4160-473e-a03e-70f0e7135129
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,role wireless network,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,network term,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",sensor network,wireless network,1,0.0,2019.0,,cb894d48-62d8-4325-b5ec-4e9d4879652b
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,lifetim wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,lifetim wireless,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,system wireless sensor,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,wireless sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,sensor network,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,research problem,1,0.0,2012.0,,b0387909-2269-4363-b906-aff6296f9d52
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,goal coverag network,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,network connect sensor,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,automaton algorithm,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,sensor wireless sensor,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,sensor wireless,1,0.0,2012.0,,b77972ae-c326-4e53-944a-2348344f5b84
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,advanc sensor,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
"Networking and Internet Architecture(84.86%) | Social and Information Networks(63.0%) | Distributed, Parallel, and Cluster Computing(61.52%)",wireless sensor,sensor technolog,1,0.0,2012.0,,1d7ea7b9-fe57-4314-ad5e-3064068c1a8f
