domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),layer secur design,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),paper machin layer,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),secur design,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),machin layer secur,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),commun wireless environ,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,design commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless environ,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,commun wireless,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,machin layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,layer secur,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,commun wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,design commun,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,layer secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,secur design,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,wireless environ,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,paper machin layer,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),design commun wireless,paper machin,1,0.0,2021.0,,ab242119-8a3e-4833-8f30-58faeb9e7c02
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,access scenario,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,wireless access scenario,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,wireless access,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,qualiti wireless access,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,qualiti wireless,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,system coverag,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,scenario system,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,femtocel solut,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),access scenario system,scenario system coverag,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless access scenario,access scenario,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless access scenario,wireless access,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless access scenario,qualiti wireless access,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
Cryptography and Security(76.35%) | Networking and Internet Architecture(73.37%) | Information Theory(72.27%),wireless access scenario,qualiti wireless,1,0.0,2014.0,,eb3d709e-82c8-43b0-a46c-0ae31b58d617
