domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Machine Learning(88.79%) | Artificial Intelligence(81.0%) | Sound(71.47%),techniqu perform,perform diffus system,1,0.0,2013.0,,0bc28bd4-b044-4c09-9561-0da4edf580ed
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr,water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr water,metal concentr,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr water,concentr water fish,1,0.0,2020.0,,9525237e-4255-4920-a31c-f1f93f969542
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr water,concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),metal concentr water,water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),water fish,concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),water fish,metal concentr water,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),water fish,concentr water fish,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
Systems and Control(67.34%) | Multimedia(45.12%) | Hardware Architecture(42.1%),water fish,metal concentr,1,0.0,2021.0,,ba89ba78-859d-46e5-b462-ad360a5909af
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),health issu,contamin soil,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),health issu,soil transfer,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),health issu,diseas covid,1,0.0,2021.0,,137a2a18-758f-4352-ab01-e2b76ab9aefb
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),soil transfer,contamin soil,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),soil transfer,health issu,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),contamin soil,health issu,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),contamin soil,soil transfer,1,0.0,2017.0,,6746aa55-2a61-4482-8bec-000a252bfce0
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),covid patient,diseas covid,1,0.0,2021.0,,8d5fdcf5-1f25-4d02-b496-61db58f3160a
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),diseas covid,covid patient,1,0.0,2021.0,,8d5fdcf5-1f25-4d02-b496-61db58f3160a
General Literature(65.43%) | Mathematical Software(45.48%) | Cryptography and Security(32.55%),diseas covid,health issu,1,0.0,2021.0,,137a2a18-758f-4352-ab01-e2b76ab9aefb
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),applic soil,upazila district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),applic soil,district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),applic soil,upazila district,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district,upazila district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district,district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district,applic soil,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),district bangladesh,upazila district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),district bangladesh,applic soil,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),district bangladesh,upazila district,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district bangladesh,district bangladesh,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district bangladesh,applic soil,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
Computational Geometry(64.89%) | Sound(62.42%) | Systems and Control(61.2%),upazila district bangladesh,upazila district,1,0.0,2016.0,,8fddbe83-49f9-406d-aab4-5784e11da523
