domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),challeng minor,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class challeng,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,distribut data sampl,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,minor class concept,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,data sampl class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,challeng minor class,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,challeng minor,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class concept,sampl class challeng,1,0.0,2011.0,,a7f41ff9-63f8-4a06-b715-39735006bc99
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,class minor class,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,minor class data,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,class data set,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,learn characterist sampl,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,learn characterist,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,characterist sampl class,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,data set,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class,onlin learn,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),minor class sampl,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),class sampl,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),classifi minor class,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),problem distribut data,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,distribut data sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,data sampl class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,minor class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,class sampl,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,classifi minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,problem distribut data,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,sampl class challeng,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),distribut data,minor class,1,0.0,2012.0,,c406821a-3a95-468a-9c82-41e781e1da94
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,data set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,number sampl class,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,major class minor,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,valu minor,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,valu minor sampl,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,classifi number sampl,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,class minor class,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,minor class data,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,class data set,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,learn characterist sampl,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,learn characterist,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,characterist sampl class,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,onlin learn,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),data set,minor class,1,0.0,2015.0,,af2bf3e3-5101-4924-ba75-2863e4155557
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,data set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,number sampl class,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,major class minor,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,data set,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,valu minor sampl,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor,classifi number sampl,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,data set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,number sampl class,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,major class minor,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,data set,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,valu minor,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
General Literature(86.2%) | Cryptography and Security(77.68%) | Computation and Language(66.06%),valu minor sampl,set problem,1,0.0,2013.0,,a1d394e9-58d3-49e0-8db2-a81f5e43afc6
