domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum,network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,addit spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,node spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,spectrum sens reliabl,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,node spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens reliabl,addit spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens reliabl,node spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens reliabl,spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum sens reliabl,node spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum sens,addit spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum sens,spectrum sens reliabl,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum sens,spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum sens,node spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",addit spectrum,node spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",addit spectrum,spectrum sens reliabl,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",addit spectrum,spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",addit spectrum,node spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum,addit spectrum,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum,node spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum,spectrum sens reliabl,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",node spectrum,spectrum sens,1,0.0,2013.0,,cdb7d2f1-3d4e-45ad-9cec-661a9a25cce2
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,radio network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,spectrum strategi,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,paper spectrum css,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,spectrum css radio,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,css radio network,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,spectrum css,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,css radio,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,radio network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network,paper spectrum,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",perform way radio,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",way radio,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network spectrum,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,network spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,perform way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,radio network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,way radio,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,spectrum sens,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,perform way,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,radio network,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network spectrum sens,network spectrum,1,0.0,2014.0,,68c39c9d-5932-4afd-8ef0-a20105b87150
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network crn,radio network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network crn,radio network,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",network crn,spectrum strategi,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum strategi,radio network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum strategi,radio network,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",spectrum strategi,network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,radio network,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,network crn,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,spectrum strategi,1,0.0,2017.0,,ce8faabe-794e-47f4-9f0d-0b04feb80083
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,scheme radio network,1,0.0,2018.0,,5ec91e59-cac5-4409-aa63-0b5336a6992b
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,spectrum scheme radio,1,0.0,2018.0,,5ec91e59-cac5-4409-aa63-0b5336a6992b
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network crn,ukf spectrum scheme,1,0.0,2018.0,,5ec91e59-cac5-4409-aa63-0b5336a6992b
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,radio network,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,spectrum css radio,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,css radio network,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,spectrum css,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,css radio,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,radio network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",paper spectrum css,paper spectrum,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,paper spectrum css,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,radio network,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,spectrum css radio,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,css radio network,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,spectrum css,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,radio network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",css radio,paper spectrum,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
"Networking and Internet Architecture(81.76%) | Social and Information Networks(71.59%) | Distributed, Parallel, and Cluster Computing(69.42%)",radio network signaltonois,network signaltonois,1,0.0,2018.0,,d36dbd1d-ee95-40cd-8cf3-8efced92516a
