domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",algorithm sensor network,sensor network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,network lifetim,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network network,network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,coverag sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,sensor network network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,lifetim coverag qualiti,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,sensor network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,network lifetim coverag,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,algorithm sensor network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,network lifetim,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",network network lifetim,network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",multimedia sensor network,sensor network cfd,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",multimedia sensor network,congest data deliveri,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",multimedia sensor network,sensor network,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",multimedia sensor network,multimedia sensor,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor network,sensor network traffic,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor network,sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor network,bodi sensor,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor network,mac protocol,1,0.0,2015.0,,20c081a5-805d-46ba-89e7-33c73830601e
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor network,access control,1,0.0,2015.0,,20c081a5-805d-46ba-89e7-33c73830601e
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network traffic,sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network traffic,bodi sensor,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network traffic,bodi sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor,sensor network traffic,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor,sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",bodi sensor,bodi sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,wireless sensor,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,delay network lifetim,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,issu wireless sensor,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,wireless sensor network,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network endtoend,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network traffic,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,bodi sensor,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,bodi sensor network,1,0.0,2013.0,,5db1f975-8533-44a8-a35b-e6fe427a2d88
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,target coverag,1,0.0,2014.0,,aa996ec3-432f-4edf-a997-bd6f424ea5e6
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,problem problem sensor,1,0.0,2014.0,,aa996ec3-432f-4edf-a997-bd6f424ea5e6
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,problem sensor,1,0.0,2014.0,,aa996ec3-432f-4edf-a997-bd6f424ea5e6
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,problem sensor network,1,0.0,2014.0,,aa996ec3-432f-4edf-a997-bd6f424ea5e6
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,problem wireless,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network achiev,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,problem wireless sensor,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,packet sensor network,1,0.0,2015.0,,c68a09c4-6d28-48f9-a987-268c2a7a09c1
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network throughput sensor,1,0.0,2015.0,,c68a09c4-6d28-48f9-a987-268c2a7a09c1
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network interfer network,1,0.0,2015.0,,c68a09c4-6d28-48f9-a987-268c2a7a09c1
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,throughput sensor network,1,0.0,2015.0,,c68a09c4-6d28-48f9-a987-268c2a7a09c1
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network interfer,1,0.0,2015.0,,c68a09c4-6d28-48f9-a987-268c2a7a09c1
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,radio sensor network,1,0.0,2015.0,,28b07ec9-5e03-4be2-830e-fa10950bfadf
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,area coverag,1,0.0,2015.0,,58ba760a-6012-4da0-be64-00762c0f2624
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network present,1,0.0,2015.0,,bdb57194-9ce5-4602-909c-83c18635257c
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,coverag sensor network,1,0.0,2015.0,,bdb57194-9ce5-4602-909c-83c18635257c
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,area coverag sensor,1,0.0,2015.0,,bdb57194-9ce5-4602-909c-83c18635257c
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network present,1,0.0,2015.0,,bdb57194-9ce5-4602-909c-83c18635257c
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,technolog wireless sensor,1,0.0,2016.0,,9e337748-1ba3-44d7-b95b-7022dff1e0e7
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,perform network,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network lifetim coverag,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network lifetim,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,lifetim coverag,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,coverag perform network,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network provid network,1,0.0,2016.0,,c6785e5e-3c8f-4bfa-97ba-64d368eec45a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network cfd,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,multimedia sensor network,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,congest data deliveri,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,multimedia sensor,1,0.0,2016.0,,a200cf47-0d86-4d08-8690-23ecf8e23a1a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network network,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,lifetim coverag qualiti,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network network lifetim,1,0.0,2016.0,,b482cf57-a7df-4e19-afa2-361795a13c48
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network sink network,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,data deliveri,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network sink,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network lifetim data,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network sink,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,lifetim data,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,lifetim data deliveri,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network interfer,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,commun wireless sensor,1,0.0,2017.0,,164986f2-8e6e-4cb5-9faf-9eb9c6146c32
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network sensor,1,0.0,2017.0,,6f90a4d9-6fe7-456c-88d7-5c1a102dfa50
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network sensor node,1,0.0,2017.0,,6f90a4d9-6fe7-456c-88d7-5c1a102dfa50
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,develop wireless sensor,1,0.0,2017.0,,bcbee09b-5493-453a-9986-6559fdc98691
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network monitor,1,0.0,2017.0,,bcbee09b-5493-453a-9986-6559fdc98691
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,energi technolog,1,0.0,2017.0,,03043937-206f-4858-a5f2-2e53ae367132
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,energi node,1,0.0,2017.0,,03043937-206f-4858-a5f2-2e53ae367132
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,sensor network energi,1,0.0,2017.0,,03043937-206f-4858-a5f2-2e53ae367132
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network energi node,1,0.0,2017.0,,03043937-206f-4858-a5f2-2e53ae367132
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,algorithm sensor network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,network network,1,0.0,2017.0,,79a9916a-b993-4143-ad37-effbda0f5399
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",sensor network,strategi wireless sensor,1,0.0,2019.0,,c83b561f-2811-4210-9a10-d27685ff7d33
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,wireless sensor,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,delay network lifetim,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,issu wireless sensor,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,sensor network endtoend,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,sensor network,1,0.0,2013.0,,4b7de99f-b543-4e2c-9f30-db19a2d6905f
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,problem wireless,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,sensor network achiev,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,problem wireless sensor,1,0.0,2014.0,,9aa859bd-e951-4e33-972d-1808dcd0c17a
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,radio sensor network,1,0.0,2015.0,,28b07ec9-5e03-4be2-830e-fa10950bfadf
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,area coverag,1,0.0,2015.0,,58ba760a-6012-4da0-be64-00762c0f2624
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,technolog wireless sensor,1,0.0,2016.0,,9e337748-1ba3-44d7-b95b-7022dff1e0e7
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,sensor network problem,1,0.0,2016.0,,f5cde11a-b6e7-4d37-94cd-27402b9fd750
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,energi wireless sensor,1,0.0,2016.0,,f5cde11a-b6e7-4d37-94cd-27402b9fd750
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,network sink network,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,data deliveri,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,network sink,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,network lifetim data,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
"Networking and Internet Architecture(78.99%) | Social and Information Networks(64.54%) | Distributed, Parallel, and Cluster Computing(61.15%)",wireless sensor network,network lifetim,1,0.0,2016.0,,9f2b8123-a083-448d-94da-99952c273508
