domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic chang,composit framework drone,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,iaa request,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa request provid,request provid prefer,1,0.0,2017.0,,095b8e25-29a0-4f3f-a05a-fcd3e46b3780
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,qo requir,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,servic composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit framework composit,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit end,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,framework packag,1,0.0,2019.0,,a38a99b3-7080-42fc-87ea-41ca14552ac7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,deliveri servic droneasaservic,1,0.0,2019.0,,a38a99b3-7080-42fc-87ea-41ca14552ac7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,deliveri servic,1,0.0,2019.0,,a38a99b3-7080-42fc-87ea-41ca14552ac7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,droneasaservic daa,1,0.0,2019.0,,a38a99b3-7080-42fc-87ea-41ca14552ac7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit framework packag,1,0.0,2019.0,,a38a99b3-7080-42fc-87ea-41ca14552ac7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,deliveri weather,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,deliveri weather condit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,drone servic composit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,servic composit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,framework deliveri,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,resili drone servic,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,drone servic,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,framework deliveri weather,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit framework deliveri,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,weather condit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,resili drone,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,composit framework drone,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,drone deliveri servic,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,drone deliveri,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,framework drone deliveri,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,servic chang,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework,drone servic recharg,1,0.0,2021.0,,6697b2a6-44fa-4dcc-bed5-79f659d4c86b
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),qo requir,composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),qo requir,servic composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),qo requir,composit framework composit,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),qo requir,composit end,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,qo requir,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,composit framework composit,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,composit end,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,deliveri weather,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,deliveri weather condit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,drone servic composit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,servic composit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,framework deliveri,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,resili drone servic,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,drone servic,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,framework deliveri weather,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,composit framework deliveri,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,weather condit,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic composit framework,resili drone,1,0.0,2021.0,,0909ae29-407b-47f7-bc2f-b19f37adbc60
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework composit,qo requir,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework composit,composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework composit,servic composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework composit,composit end,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit end,qo requir,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit end,composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit end,servic composit framework,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit end,composit framework composit,1,0.0,2014.0,,d46c040d-2d28-428e-8a94-92ea184c15cf
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,servic request provid,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,approach set,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,request provid,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,approach set servic,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic request,provid expect,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),composit framework infrastructureasaservic,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,approach iaa provid,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,experi select,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,iaa provid period,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,approach consum trial,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,approach iaa,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,provid period,1,0.0,2019.0,,b289055a-2dca-4877-9997-d1e8da79aff7
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,provid consum,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,perform provid,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,framework shortterm trial,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,consum perform,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,consum perform requir,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,perform requir,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,trial perform provid,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,framework iaa provid,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,iaa provid consum,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,framework iaa,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),iaa provid,framework shortterm,1,0.0,2020.0,,c6a5102a-e2b1-4309-ab80-64eb35d20ae4
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,servic request provid,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,approach set,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,request provid,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,approach set servic,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),set servic,provid expect,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),provid set,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),infrastructureasaservic iaa,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,set servic request,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,provid set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,composit framework infrastructureasaservic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,infrastructureasaservic iaa,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,iaa provid,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,set servic,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,provid set,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,composit framework,1,0.0,2015.0,,d71bef46-afff-4c10-acb2-bf1577d18107
Digital Libraries(80.12%) | General Literature(75.9%) | Information Theory(74.98%),servic request,servic request provid,1,0.0,2016.0,,fefac3cb-c3ce-4bcc-ab27-9b2c0210cf5a
