domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),activ video,onlin learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut learn,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ learner,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,onlin learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,activ video,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learner activ,onlin learner,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn institut,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,institut learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),learn environ,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,learn environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,learn environ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,learn institut learn,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,learn institut,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,environ learner,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,learner activ,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),institut learn environ,paper suitabl,1,0.0,2019.0,,c0d9736f-6a4e-4f5f-97e6-b749504b2f4b
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),role learn,environ onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),role learn,onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),role learn,onlin environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),role learn,onlin environ,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),role learn,environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,environ onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,role learn,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,onlin environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,onlin environ,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,onlin learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,activ video,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner,learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ onlin,environ onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ onlin,role learn,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ onlin,onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ onlin,onlin environ,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ onlin,environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin learner,role learn,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin learner,onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin learner,onlin environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin learner,onlin environ,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin learner,environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ,environ onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ,role learn,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ,onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ,onlin environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin environ,environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin,environ onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin,role learn,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin,onlin learner,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin,onlin environ onlin,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),environ onlin,onlin environ,1,0.0,2018.0,,1e38fa88-922b-470e-a290-dcad509052b8
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner activ,activ video,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner activ,onlin learner,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),onlin learner activ,learner activ,1,0.0,2019.0,,428bd7ba-2232-4dd4-b1c2-8fbb1905997d
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),method track,paper method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),method track,paper method,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),method track,motion featur,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),method track,cell timelaps,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),cell timelaps,paper method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),cell timelaps,paper method,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),cell timelaps,motion featur,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),cell timelaps,method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,paper method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,motion featur,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,cell timelaps,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,segment nuclei,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,nuclei phasecontrast,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,paper method segment,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,method segment nuclei,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,phasecontrast imag,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,imag intens,1,0.0,2014.0,,f1a5c682-711d-477a-9042-9f1603e8c5f5
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,detect classif,1,0.0,2017.0,,2e3e51dc-9159-4787-a723-5d794a265893
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,fundu imag,1,0.0,2017.0,,2e3e51dc-9159-4787-a723-5d794a265893
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method,method contextdepend,1,0.0,2017.0,,2e3e51dc-9159-4787-a723-5d794a265893
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method track,paper method,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method track,motion featur,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method track,cell timelaps,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),paper method track,method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),motion featur,paper method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),motion featur,paper method,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),motion featur,cell timelaps,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
Computer Vision and Pattern Recognition(69.36%) | Graphics(68.89%) | Machine Learning(67.89%),motion featur,method track,1,0.0,2011.0,,f8c2917e-c116-4c75-9286-4520030b0eed
