domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system secur data,secur data,1,0.0,2021.0,,77f4cb48-0d0e-48dc-91e7-b72226e6b7d6
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,wireless system,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access techniqu,wireless system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access techniqu perform,radio access techniqu,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access techniqu perform,access noma,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access techniqu perform,techniqu perform,1,0.0,2016.0,,688ddcd0-7a6c-44bd-9717-6d13fac78dfb
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,radio access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,access noma,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,access technolog,1,0.0,2017.0,,9733114f-0b54-467f-88a6-eb7725014a4e
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,system radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,wireless system,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,radio access techniqu,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",radio access,wireless system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access noma,access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access noma,paper perform noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access access noma,access access,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",paper perform noma,access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",paper perform noma,access access noma,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",paper perform noma,access access,1,0.0,2018.0,,9d79054f-ef4d-47be-a16c-5368b71b7c23
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",noma system,access noma,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",noma system,access noma system,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma system,noma system,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",access noma system,access noma,1,0.0,2018.0,,ed1e88b3-b6f3-48c6-93a1-664cceb24c3a
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless network,radio access techniqu,1,0.0,2019.0,,02ba4cb0-0a67-4a70-b886-7ae8d21237b2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless network,access noma,1,0.0,2019.0,,02ba4cb0-0a67-4a70-b886-7ae8d21237b2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless network,system secur,1,0.0,2021.0,,c7af6755-8ab8-4ca1-a886-04bd36be04e2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio access,radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio access,system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio access,wireless system,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio access,radio access techniqu,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio access,wireless system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio,radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio,system radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio,wireless system,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio,radio access techniqu,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",system radio,wireless system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system,radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system,system radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system,system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system,radio access techniqu,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system,wireless system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system radio,radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system radio,system radio access,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system radio,system radio,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system radio,wireless system,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",wireless system radio,radio access techniqu,1,0.0,2019.0,,83af4d8c-33d1-41df-b321-8ed08af3b014
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",transmiss access,access noma,1,0.0,2021.0,,25688b72-4534-47d4-bc95-5d49b71eaed1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,surfac plasmon reson,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,crystal fiber pcf,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,fiber pcf surfac,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,fiber pcf,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,sensor detect paper,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,quadrupl channel,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,pcf surfac,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,channel crystal,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",channel crystal fiber,crystal fiber,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",sensor spr,pcf sensor,1,0.0,2020.0,,b22bf856-ba01-4619-bae3-020d483c5fc1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",sensor spr,fiber pcf,1,0.0,2020.0,,b22bf856-ba01-4619-bae3-020d483c5fc1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",sensor spr,fiber pcf sensor,1,0.0,2020.0,,b22bf856-ba01-4619-bae3-020d483c5fc1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,surfac plasmon reson,1,0.0,2020.0,,cf3d7a2f-5dcd-4c44-a243-334d1ab21ea2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,reson spr,1,0.0,2020.0,,cf3d7a2f-5dcd-4c44-a243-334d1ab21ea2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,surfac plasmon,1,0.0,2020.0,,cf3d7a2f-5dcd-4c44-a243-334d1ab21ea2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,fiber pcf,1,0.0,2020.0,,cf3d7a2f-5dcd-4c44-a243-334d1ab21ea2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,fiber pcf sensor,1,0.0,2020.0,,cf3d7a2f-5dcd-4c44-a243-334d1ab21ea2
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",pcf sensor,sensor spr,1,0.0,2020.0,,b22bf856-ba01-4619-bae3-020d483c5fc1
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,surfac plasmon reson,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,fiber pcf surfac,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,fiber pcf,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,paper crystal,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,crystal fiber,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,surfac plasmon,1,0.0,2020.0,,11c7845c-f4c0-4937-a4fa-4b22bf1bf7f7
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,pcf surfac,1,0.0,2020.0,,11c7845c-f4c0-4937-a4fa-4b22bf1bf7f7
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,channel crystal fiber,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,sensor detect paper,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,quadrupl channel,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber pcf,channel crystal,1,0.0,2021.0,,a7378d9c-ed89-493a-9c07-75c81e10f5b9
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber,surfac plasmon reson,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber,crystal fiber pcf,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
"Networking and Internet Architecture(79.78%) | Cryptography and Security(78.16%) | Distributed, Parallel, and Cluster Computing(74.92%)",crystal fiber,fiber pcf surfac,1,0.0,2020.0,,5e556f34-ec13-4a80-8c96-ffb0736cefbc
