domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),techniqu featur,face recognit eye,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),featur extract,recognit eye nostril,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit eye,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),face recognit,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face recognit,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),mouth featur,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nostril mouth,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,paper face,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),recognit eye nostril,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,nostril mouth,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,face recognit eye,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,paper face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,face recognit,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,recognit eye nostril,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,mouth featur,1,0.0,2014.0,,4988d706-e442-4d40-8ae5-686557055206
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,techniqu featur,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper face,featur extract,1,0.0,2015.0,,b31fe44e-6966-4917-bad0-8ffd23bd1359
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),detect imag,imag imag,1,0.0,2018.0,,e1fcab48-1406-46cb-ba21-947e54460d9b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process nois,nois problem,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process nois,imag process,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process nois,imag diagnosi,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,imag imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,imag imag speckl,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,field imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,nois problem,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,imag speckl nois,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,imag diagnosi,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag process,imag process nois,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag speckl,imag imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag speckl,field imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag speckl,nois problem,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag speckl,imag process,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag speckl,imag speckl nois,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),field imag,imag imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),field imag,imag imag speckl,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),field imag,nois problem,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),field imag,imag process,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),field imag,imag speckl nois,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag imag speckl,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,field imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag process,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag speckl nois,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag diagnosi,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),nois problem,imag process nois,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,imag imag speckl,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,field imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,nois problem,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,imag process,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,imag speckl nois,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag imag,detect imag,1,0.0,2018.0,,e1fcab48-1406-46cb-ba21-947e54460d9b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag speckl nois,imag imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag speckl nois,imag imag speckl,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag speckl nois,field imag,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag speckl nois,nois problem,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag speckl nois,imag process,1,0.0,2012.0,,39eff1c7-6429-417d-8cff-7d7e31668759
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag diagnosi,nois problem,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag diagnosi,imag process,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),imag diagnosi,imag process nois,1,0.0,2013.0,,64ec5631-8b91-43d3-8ea3-d5555d51b2b4
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm featur,paper algorithm,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm featur,algorithm featur,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm featur,mouth corner view,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm featur,featur point,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm featur,point eye,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm,paper algorithm featur,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm,algorithm featur,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm,mouth corner view,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm,featur point,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),paper algorithm,point eye,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),algorithm featur,paper algorithm featur,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
Neural and Evolutionary Computing(74.31%) | Computer Vision and Pattern Recognition(71.35%) | Mathematical Software(67.49%),algorithm featur,paper algorithm,1,0.0,2011.0,,3a15aa25-aaa0-4bfb-b243-3c6d4b73806b
