domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,comprehens sourc,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,project plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,comprehens sourc softwar,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,softwar project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,data project,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,plethora data project,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,pioneer grade softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,grade softwar product,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,grade softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,softwar project pioneer,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,project pioneer grade,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,decad sourc,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,coupl decad sourc,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,project pioneer,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar project,decad sourc softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,user project,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project medium qualiti,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,medium qualiti softwar,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,softwar project medium,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,medium qualiti,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project medium,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,qualiti softwar,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,sourc softwar,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,comprehens sourc,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,comprehens sourc softwar,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,softwar project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,data project,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,plethora data project,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,pioneer grade softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,grade softwar product,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,grade softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,softwar project pioneer,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project pioneer grade,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,decad sourc,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,coupl decad sourc,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,project pioneer,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project,decad sourc softwar,1,0.0,2020.0,,c40377e5-96fd-458e-95ff-9bdbec7a1a82
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),code system,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,paper challeng,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,challeng sourc project,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,project inform develop,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,inform develop project,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,sourc project,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,develop project,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,challeng sourc,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,paper challeng sourc,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),project inform,inform develop,1,0.0,2014.0,,ba287218-a1fd-47a0-b3e5-9c9b9873cf29
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc code system,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),repositori sourc code,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,inform repositori sourc,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),softwar project inform,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,sourc code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,code system,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,repositori sourc code,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,softwar project inform,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),inform repositori sourc,sourc softwar project,1,0.0,2012.0,,c2072dbb-b291-4b2b-80d8-bb8ce7feddec
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar oss approach,1,0.0,2011.0,,5e3a52c6-54f3-482b-906c-41092f113657
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,sourc softwar oss,1,0.0,2011.0,,5e3a52c6-54f3-482b-906c-41092f113657
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,oss approach,1,0.0,2011.0,,5e3a52c6-54f3-482b-906c-41092f113657
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar oss,1,0.0,2011.0,,5e3a52c6-54f3-482b-906c-41092f113657
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,user project,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project medium qualiti,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,medium qualiti softwar,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar project medium,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,medium qualiti,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar project,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project medium,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,qualiti softwar,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,sourc softwar project,1,0.0,2012.0,,a01629f9-1f28-48a9-8a2b-1c45a4bd15ea
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,sourc softwar compon,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar compon knowledg,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,compon knowledg,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,knowledg project develop,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,adopt sourc,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,risk use,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar compon,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project develop risk,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,adopt sourc softwar,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,knowledg project,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,compon knowledg project,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project develop,1,0.0,2012.0,,2dd2028e-3b6c-45c6-8db2-44c8022ecce4
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,oss accept,1,0.0,2013.0,,ec8044f3-4720-456f-9e71-2d5a6813fdba
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar oss accept,1,0.0,2013.0,,ec8044f3-4720-456f-9e71-2d5a6813fdba
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,comprehens sourc,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project plethora data,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,comprehens sourc softwar,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,softwar project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
Symbolic Computation(78.0%) | Software Engineering(75.77%) | Operating Systems(59.75%),sourc softwar,project plethora,1,0.0,2013.0,,b879fe2f-c178-436f-9883-b93b31748443
