domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),paper type artifact,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,eeg record,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,record type artifact,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,bci eeg,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,bci eeg record,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,eeg record type,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,electroencephalogram eeg signal,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,signal perform laterstag,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,eeg signal,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,eeg signal perform,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,type artifact electroencephalogram,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,artifact electroencephalogram eeg,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,perform laterstag analysi,1,0.0,2021.0,,d3c0eb07-1cee-4f87-9b88-d21618987180
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,artifact nois,1,0.0,2021.0,,56ec59dc-c7b2-417d-9782-e2681a1e8dd4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,type artifact nois,1,0.0,2021.0,,56ec59dc-c7b2-417d-9782-e2681a1e8dd4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,artifact nois sourc,1,0.0,2021.0,,56ec59dc-c7b2-417d-9782-e2681a1e8dd4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact,presenc artifact,1,0.0,2021.0,,56ec59dc-c7b2-417d-9782-e2681a1e8dd4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact record,artifact record,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact record,type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact record,method artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact record,paper type,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),type artifact record,paper type artifact,1,0.0,2012.0,,9120a7e4-911f-4163-a6dd-abe6ac4225a4
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,method artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record seizur,eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,eeg record seizur,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,method artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg,artifact eeg signal,1,0.0,2020.0,,7289c681-ee11-491c-a32e-9314f918f4c2
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,eeg record seizur,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,method artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,type artifact bci,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,interfac bci,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,type artifact,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,record type artifact,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,bci eeg,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,bci eeg record,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),eeg record,eeg record type,1,0.0,2019.0,,2a61ef18-a6b3-4b2c-a438-566405d617c8
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,eeg record seizur,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,method artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),artifact eeg record,eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,detect epilepsi,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,eeg record seizur,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,paper method artifact,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,seizur diagnosi detect,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),method artifact eeg,eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),detect epilepsi,artifact eeg record,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),detect epilepsi,paper method,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),detect epilepsi,epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),detect epilepsi,detect epilepsi patient,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
Cryptography and Security(85.75%) | Computer Science and Game Theory(75.1%) | Computation and Language(59.41%),detect epilepsi,artifact eeg,1,0.0,2014.0,,7bfa4eb9-1f59-4a30-b576-afdc90e57ccb
