domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber lattic,porouscor crystal fiber,1,0.0,2019.0,,dd4b09c4-86dc-47a1-82e8-e59cb482a520
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper design crystal,crystal fiber,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,paper crystal,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,paper crystal fiber,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers crystal fiber,1,0.0,2011.0,,cd811a10-1690-4608-81ca-7c85e9e58387
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,tomographi dispers crystal,1,0.0,2011.0,,cd811a10-1690-4608-81ca-7c85e9e58387
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber broadband,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,element method layer,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber broadband,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber broadband dispers,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,triangularlattic crystal fiber,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,broadband dispers compens,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,broadband dispers,1,0.0,2012.0,,1f4dbb2b-7369-40b3-8759-f0415f42ca4b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber hnlgepcf,1,0.0,2012.0,,7272eea0-4a3a-4e2b-aea8-1f117eb4c898
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers gvd,1,0.0,2012.0,,7272eea0-4a3a-4e2b-aea8-1f117eb4c898
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber hnlgepcf,1,0.0,2012.0,,7272eea0-4a3a-4e2b-aea8-1f117eb4c898
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers crystal,1,0.0,2012.0,,02319c29-6c04-432a-927f-6a904b2b082c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers slope,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,properti element method,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,glass crystal fiber,1,0.0,2013.0,,708a89df-2162-4971-8ca3-94f49598371e
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber design birefring,1,0.0,2013.0,,a718b4e5-3210-4f3e-a3c0-b023723ecb0c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber design,1,0.0,2013.0,,a718b4e5-3210-4f3e-a3c0-b023723ecb0c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber design,1,0.0,2013.0,,a718b4e5-3210-4f3e-a3c0-b023723ecb0c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design birefring,1,0.0,2013.0,,a718b4e5-3210-4f3e-a3c0-b023723ecb0c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,finiteel method layer,1,0.0,2013.0,,f37093cd-a71b-4196-972c-40054978ff57
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber pcf,1,0.0,2013.0,,f37093cd-a71b-4196-972c-40054978ff57
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf dispers,1,0.0,2013.0,,f37093cd-a71b-4196-972c-40054978ff57
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf,1,0.0,2013.0,,f37093cd-a71b-4196-972c-40054978ff57
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,structur broadband dispers,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers compens,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf structur,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,compens wavelength rang,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,wavelength rang,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,core region,1,0.0,2014.0,,cf988933-0338-4370-8c49-5a2b6b740c8f
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber core,1,0.0,2014.0,,cf988933-0338-4370-8c49-5a2b6b740c8f
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,airhol fiber,1,0.0,2014.0,,cf988933-0338-4370-8c49-5a2b6b740c8f
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber dispers,1,0.0,2014.0,,79c9c9c1-4ede-460a-b061-4078523760b3
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,dispers mode fiber,1,0.0,2014.0,,79c9c9c1-4ede-460a-b061-4078523760b3
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber dispers mode,1,0.0,2014.0,,79c9c9c1-4ede-460a-b061-4078523760b3
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,mode fiber,1,0.0,2014.0,,79c9c9c1-4ede-460a-b061-4078523760b3
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber mode,1,0.0,2014.0,,79c9c9c1-4ede-460a-b061-4078523760b3
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,structur dispers birefring,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design crystal,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,paper design crystal,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,paper design,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design crystal fiber,1,0.0,2014.0,,b16d62b8-2e64-4bd4-8e8a-d947574bf3b6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,clad crystal fiber,1,0.0,2014.0,,cba6455d-4e8d-4d37-8113-b19ea45647f2
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,rang wavelength,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design birefring crystal,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,birefring crystal,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,birefring crystal fiber,1,0.0,2014.0,,537f544f-6ce3-4592-8104-ff01e7f457a6
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber materi,1,0.0,2014.0,,ad64f418-fea2-420e-9bb9-fe1f087d6dbd
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber materi loss,1,0.0,2014.0,,ad64f418-fea2-420e-9bb9-fe1f087d6dbd
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf design,1,0.0,2015.0,,92ad260e-deaa-46bc-93fb-e6a067356a6d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design analysi,1,0.0,2015.0,,d55853ad-3d90-4f13-b789-53d572ba734b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design analysi crystal,1,0.0,2015.0,,d55853ad-3d90-4f13-b789-53d572ba734b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,analysi crystal fiber,1,0.0,2015.0,,d55853ad-3d90-4f13-b789-53d572ba734b
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,lattic crystal fiber,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,loss thz,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber loss thz,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,lattic crystal,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber loss,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,materi loss,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber loss,1,0.0,2015.0,,7a182d88-038e-469b-9d2a-6af818a4d229
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,pcf paper,1,0.0,2015.0,,724d4475-b435-4ed6-9c5c-fae2af58b674
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf paper,1,0.0,2015.0,,724d4475-b435-4ed6-9c5c-fae2af58b674
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,porouscor crystal,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,porouscor crystal fiber,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,properti element,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,element method,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber guid properti,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,guid properti,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber guid,1,0.0,2016.0,,1799873b-a1e8-4b85-8e4f-9d0898309a75
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber transmiss,1,0.0,2016.0,,d03cf492-49d4-4452-9d7f-96a68394daf1
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,pcf biosensor,1,0.0,2017.0,,8c150155-784e-41b0-af13-9db4dda8a06c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,fiber pcf biosensor,1,0.0,2017.0,,8c150155-784e-41b0-af13-9db4dda8a06c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,graphen crystal fiber,1,0.0,2017.0,,8c150155-784e-41b0-af13-9db4dda8a06c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,spr pcf biosensor,1,0.0,2017.0,,8c150155-784e-41b0-af13-9db4dda8a06c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,spr pcf,1,0.0,2017.0,,8c150155-784e-41b0-af13-9db4dda8a06c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,core crystal,1,0.0,2018.0,,a339f8bd-3f30-41c3-9ca1-c65584e9b1c1
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,design loss,1,0.0,2018.0,,a339f8bd-3f30-41c3-9ca1-c65584e9b1c1
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,core crystal fiber,1,0.0,2018.0,,a339f8bd-3f30-41c3-9ca1-c65584e9b1c1
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,sensor crystal fiber,1,0.0,2018.0,,554fb9d6-343e-43bd-a4b5-b07421c21a1f
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,sensor crystal,1,0.0,2018.0,,554fb9d6-343e-43bd-a4b5-b07421c21a1f
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,crystal fiber lattic,1,0.0,2019.0,,dd4b09c4-86dc-47a1-82e8-e59cb482a520
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,squarelattic crystal fiber,1,0.0,2021.0,,fad21184-00a2-4f75-a03a-25a2f9b1d826
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),crystal fiber,oper wavelength,1,0.0,2021.0,,fad21184-00a2-4f75-a03a-25a2f9b1d826
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,paper crystal fiber,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,crystal fiber,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,dispers slope,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,properti element method,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,crystal fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,structur broadband dispers,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,dispers compens,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,broadband dispers compens,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,broadband dispers,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,structur dispers birefring,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,fiber structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal,structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,paper crystal,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,crystal fiber,1,0.0,2011.0,,a3575348-fdd1-42e7-8f0c-77816f008fc9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,dispers slope,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,properti element method,1,0.0,2013.0,,7b051ed8-e666-4346-80c1-35aaabaeb94d
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,properti design,1,0.0,2013.0,,89ebce9e-977a-4c74-8008-d495f991e846
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,fiber pcf,1,0.0,2013.0,,89ebce9e-977a-4c74-8008-d495f991e846
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,crystal fiber pcf,1,0.0,2013.0,,89ebce9e-977a-4c74-8008-d495f991e846
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,crystal fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,structur broadband dispers,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,dispers compens,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,broadband dispers compens,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,fiber structur,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,broadband dispers,1,0.0,2013.0,,f44cc695-49fe-4c78-a55d-5bfe40ca1e8a
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,structur dispers birefring,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,fiber structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),paper crystal fiber,structur dispers,1,0.0,2014.0,,752c4f60-1119-4a4c-bb78-66e330aeb7d7
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,tomographi dispers crystal,1,0.0,2011.0,,cd811a10-1690-4608-81ca-7c85e9e58387
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,crystal fiber,1,0.0,2011.0,,cd811a10-1690-4608-81ca-7c85e9e58387
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,dispers crystal,1,0.0,2012.0,,02319c29-6c04-432a-927f-6a904b2b082c
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,fiber pcf structur,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,structur broadband dispers,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,dispers compens,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,crystal fiber pcf,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,compens wavelength rang,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
Cryptography and Security(83.22%) | Operating Systems(81.33%) | Computer Science and Game Theory(79.6%),dispers crystal fiber,broadband dispers,1,0.0,2013.0,,dee62da3-0469-4492-8824-ae017bcc10b9
