domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),provinc korea,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,rhizoctonia solani,1,0.0,2015.0,,c656cdd5-eec2-4fe6-8587-59ff472b03ff
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,mold broccoli,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,studi agent,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,korea septemb,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc korea,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold symptom,mycelia conidia,1,0.0,2016.0,,bbb914d2-8ed8-4f87-88e8-1c6223dc0fe3
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,mold broccoli,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,studi agent,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,korea septemb,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangwon provinc,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,symptom mold,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,rhizoctonia solani,1,0.0,2015.0,,c656cdd5-eec2-4fe6-8587-59ff472b03ff
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),gangneung gangwon provinc,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,gangwon provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,provinc korea,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,gangneung gangwon,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,gangneung gangwon provinc,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom mold,mold symptom,1,0.0,2014.0,,9b9b1282-7d05-495a-a461-8758c7d42c3e
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rhizoctonia solani,gangwon provinc korea,1,0.0,2015.0,,c656cdd5-eec2-4fe6-8587-59ff472b03ff
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rhizoctonia solani,gangneung gangwon provinc,1,0.0,2015.0,,c656cdd5-eec2-4fe6-8587-59ff472b03ff
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),symptom growth mycelia,provinc korea,1,0.0,2015.0,,fd411658-6999-4acd-9edc-1d083370cf89
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight symptom,plant blight,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight symptom,blight symptom,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight symptom,mycelia conidia,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),blight symptom,plant blight symptom,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),blight symptom,plant blight,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),blight symptom,mycelia conidia,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight,plant blight symptom,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight,blight symptom,1,0.0,2015.0,,d5b4250d-8fc0-4229-9d0d-239f2de15d61
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),plant blight,mycelia conidia,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mycelia conidia,plant blight symptom,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mycelia conidia,plant blight,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mycelia conidia,blight symptom,1,0.0,2016.0,,4e4b26ce-670c-41ff-9504-b5e3636fff17
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mycelia conidia,mold symptom,1,0.0,2016.0,,bbb914d2-8ed8-4f87-88e8-1c6223dc0fe3
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold broccoli,provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold broccoli,gangwon provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold broccoli,studi agent,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold broccoli,gangwon provinc,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),mold broccoli,korea septemb,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),area korea,studi agent,1,0.0,2014.0,,0ed35653-e715-4192-9f49-466ca1ff82a1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,area korea,1,0.0,2014.0,,0ed35653-e715-4192-9f49-466ca1ff82a1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,gangwon provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,mold broccoli,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,gangwon provinc,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),studi agent,korea septemb,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea septemb,provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea septemb,gangwon provinc korea,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea septemb,mold broccoli,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea septemb,studi agent,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea septemb,gangwon provinc,1,0.0,2017.0,,ddbadee2-64c9-4551-8e9a-c74605716b38
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,rot symptom,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,gangwon provinc korea,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,provinc korea,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,gangneung gangwon,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,gangwon provinc,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),fruit gangneung,gangneung gangwon provinc,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,gangwon provinc korea,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,provinc korea,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,fruit gangneung,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,gangneung gangwon,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,gangwon provinc,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),rot symptom,gangneung gangwon provinc,1,0.0,2017.0,,063fd863-e2a2-490c-a2e0-2601c2487968
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea worldwid,diseas potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea worldwid,potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),korea worldwid,phytophthora infestan,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),diseas potato korea,korea worldwid,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),diseas potato korea,potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),diseas potato korea,phytophthora infestan,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),phytophthora infestan,diseas potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),phytophthora infestan,korea worldwid,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),phytophthora infestan,potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),phytophthora infestan,univers gangneung,1,0.0,2016.0,,2fb654fe-ef05-412c-a824-06779333a5a2
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),potato korea,diseas potato korea,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),potato korea,korea worldwid,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),potato korea,phytophthora infestan,1,0.0,2013.0,,e20dc01c-eacb-4b9e-815d-92a9546760f1
Systems and Control(73.34%) | Mathematical Software(42.76%) | Networking and Internet Architecture(41.38%),univers gangneung,phytophthora infestan,1,0.0,2016.0,,2fb654fe-ef05-412c-a824-06779333a5a2
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),spot botryti,botryti cinerea,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),spot botryti,report spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),spot botryti,report spot,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot botryti,botryti cinerea,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot botryti,spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot botryti,report spot,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),botryti cinerea,spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),botryti cinerea,report spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),botryti cinerea,report spot,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot,botryti cinerea,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot,spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
General Literature(67.37%) | Discrete Mathematics(40.86%) | Cryptography and Security(30.58%),report spot,report spot botryti,1,0.0,2016.0,,93c0937c-0cd7-4970-902b-6b73ab74bae7
