domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,cell convert gain,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,highgain dcdc convert,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,convert gain mode,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,highgain dcdc,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper highgain,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert,paper highgain dcdc,1,0.0,2018.0,,a8bb099a-52e4-400a-8205-d6a05960436b
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag dcdc,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor voltag,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper capacitor,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),step gain,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor step,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,voltag dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),capacitor voltag,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,paper capacitor,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,dcdc convert,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,capacitor voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,step gain,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,paper capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,capacitor step,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,capacitor voltag,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag dcdc convert,voltag dcdc,1,0.0,2016.0,,bf73daf1-424e-4e13-97f8-1f66fb4b2429
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,voltag zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,dcdc convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag zvzc,paper zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,dcdc convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),voltag zvzc dcdc,paper zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,voltag zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),dcdc convert compon,paper zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,voltag zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,dcdc convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),paper zero voltag,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,voltag zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,dcdc convert compon,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,zvzc dcdc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),zero voltag,paper zero voltag,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),convert compon,zvzc dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),convert compon,dcdc convert,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),convert compon,zero voltag zvzc,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
Symbolic Computation(80.75%) | Systems and Control(73.48%) | Cryptography and Security(61.55%),convert compon,paper zero,1,0.0,2017.0,,bc8db543-2f94-4322-965a-0157ba51cf4a
