domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),smartphon activ recognit,recognit highlevel,1,0.0,2021.0,,90a70399-7ee3-4685-a9ba-d228f817cb4c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,action represent imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,action represent,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,action recognit motion,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,group action recognit,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,recognit motion analysi,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,research group action,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,approach gestur,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,approach gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,paper gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,recognit task,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,recognit motion histori,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),motion histori imag,gestur recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag method,motion histori,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag method,histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag method,motion histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag method,action represent imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag method,action represent,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent imag,imag method,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent imag,motion histori,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent imag,histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent imag,motion histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent imag,action represent,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,imag method,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,motion histori,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,motion histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,action represent imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,action represent,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,action recognit motion,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,group action recognit,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,recognit motion analysi,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,research group action,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,approach gestur,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,approach gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,paper gestur recognit,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,recognit task,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,recognit motion histori,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),histori imag,gestur recognit motion,1,0.0,2013.0,,8eb61a3d-8929-4ce1-beb4-f1abce88e5ef
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,imag method,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,motion histori,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,motion histori imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,action represent imag,1,0.0,2011.0,,7f22c0dc-6248-4162-8143-7827688abb6d
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,imag process,1,0.0,2011.0,,685e38ac-b22d-4ed2-b803-e263060aff71
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,techniqu action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,ransac method paper,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action represent,techniqu action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),imag process,action represent,1,0.0,2011.0,,685e38ac-b22d-4ed2-b803-e263060aff71
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),research group action,action recognit motion,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),research group action,group action recognit,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),research group action,histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),research group action,motion histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),research group action,recognit motion analysi,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit motion analysi,action recognit motion,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit motion analysi,group action recognit,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit motion analysi,histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit motion analysi,motion histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit motion analysi,research group action,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),group action recognit,action recognit motion,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),group action recognit,histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),group action recognit,motion histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),group action recognit,recognit motion analysi,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),group action recognit,research group action,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit motion,group action recognit,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit motion,histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit motion,motion histori imag,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit motion,recognit motion analysi,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit motion,research group action,1,0.0,2011.0,,747cff04-fe88-42ac-8af9-8c6478a23874
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),method paper,ransac method,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),method paper,ransac method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),method paper,analysi sampl,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,ransac method,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,analysi sampl,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,techniqu action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,action represent,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method paper,techniqu action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method,method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method,ransac method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),ransac method,analysi sampl,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),analysi sampl,method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),analysi sampl,ransac method,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),analysi sampl,ransac method paper,1,0.0,2011.0,,c930bd62-c2dd-47a7-a6fe-a82442e90ef1
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action action,techniqu action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action action,ransac method paper,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action action,action represent,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action action,techniqu action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action,action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action,ransac method paper,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action,action represent,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action,techniqu action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action action,action action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action action,techniqu action,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action action,ransac method paper,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),techniqu action action,action represent,1,0.0,2012.0,,dce0d42a-53d2-49f9-974e-52bd23dac73e
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit flow,recognit flow,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),action recognit flow,paper approach,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit flow,action recognit flow,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),recognit flow,paper approach,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,recognit flow,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,action recognit flow,1,0.0,2011.0,,2c17dc59-3ca4-40dd-b804-b4dcc673786c
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,recognit multiresolut featur,1,0.0,2013.0,,be1a698c-ffc5-47aa-ba5e-91cb0645ada7
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,action recognit multiresolut,1,0.0,2013.0,,be1a698c-ffc5-47aa-ba5e-91cb0645ada7
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,featur extract,1,0.0,2013.0,,be1a698c-ffc5-47aa-ba5e-91cb0645ada7
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,recognit multiresolut,1,0.0,2013.0,,be1a698c-ffc5-47aa-ba5e-91cb0645ada7
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,paper approach action,1,0.0,2013.0,,be1a698c-ffc5-47aa-ba5e-91cb0645ada7
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,approach gestur,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,approach gestur recognit,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,gestur recognit,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,recognit motion,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,imag templat,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
Computer Vision and Pattern Recognition(68.78%) | Computation and Language(68.54%) | Machine Learning(60.01%),paper approach,gestur recognit motion,1,0.0,2013.0,,170233c2-b240-4d67-8b84-ff280b4f5726
