domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag,intersect model,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,inform system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,system featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system,satellit imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,inform system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",satellit imag inform,system featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,inform system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,system featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",imag inform,satellit imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,inform system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,system featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur extract,satellit imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,inform system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",system featur extract,satellit imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,inform system,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,satellit imag,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,system featur,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,system featur extract,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",inform system featur,satellit imag inform,1,0.0,2011.0,,a091e194-00da-4a79-8065-eefb7f0e0488
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",intersect model,paper intersect,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",intersect model,resolut satellit,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",intersect model,satellit imag,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",paper intersect,resolut satellit,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",paper intersect,intersect model,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",paper intersect,satellit imag,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",resolut satellit,paper intersect,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",resolut satellit,intersect model,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",resolut satellit,satellit imag,1,0.0,2011.0,,a548125f-8d0b-4cd5-82e6-13240dc31b82
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,face recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,fusion environ,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,recognit system offic,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,paper face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,paper face,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,system featur,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",decis fusion,featur decis,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,face recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,fusion environ,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,recognit system offic,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,paper face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,paper face,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,system featur,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,featur decis,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,decis fusion,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,person recognit system,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,paper approach,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,iri imag,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,approach iri speech,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,paper approach iri,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,approach iri,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,person recognit,1,0.0,2015.0,,d709e737-464f-4085-9405-b9b6d5712314
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,method paper,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,system fusion,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,input recognit system,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,recognit system fusion,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,retina recognit system,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system,retina recognit,1,0.0,2015.0,,60e982bf-e2c3-44aa-963d-7adbf3c98915
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,face recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,fusion environ,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,paper face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,paper face,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,system featur,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,featur decis,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",recognit system offic,decis fusion,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,face recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,recognit system offic,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,paper face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,paper face,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,system featur,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,featur decis,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",fusion environ,decis fusion,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,face recognit system,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,fusion environ,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,recognit system offic,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,paper face recognit,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
"Distributed, Parallel, and Cluster Computing(66.47%) | Performance(64.97%) | Neural and Evolutionary Computing(63.66%)",featur decis,paper face,1,0.0,2011.0,,f2f6a414-b982-4680-844a-cfab08c02d6e
