domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),invert vsi,sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,network voltag sourc,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,sourc invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,voltag sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,distribut network,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,network voltag,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,instal paper,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,network voltag sourc,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,distribut network voltag,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),paper oper,sourc invert vsi,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),paper oper,system voltag sourc,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),paper oper,system voltag,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),paper oper,voltag sourc invert,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag,sourc invert vsi,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag,system voltag sourc,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag,voltag sourc invert,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag,paper oper,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag sourc,sourc invert vsi,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag sourc,system voltag,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag sourc,voltag sourc invert,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),system voltag sourc,paper oper,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,sourc invert vsi,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,system voltag sourc,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,system voltag,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,paper oper,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,voltag sourc,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,voltag distribut network,1,0.0,2016.0,,34ca70f4-9371-48c3-b9fb-2f8f1ed7949d
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,network voltag sourc,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,thing platform,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,paper internet,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag sourc invert,internet thing,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,system voltag sourc,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,system voltag,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,voltag sourc invert,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,paper oper,1,0.0,2015.0,,38c29bbe-f7a3-4921-a50b-77a3766093ba
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,sourc invert,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,invert vsi,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,voltag sourc,1,0.0,2015.0,,fc89ac09-a2dc-47db-9dce-4e17b8a7d34f
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,voltag distribut network,1,0.0,2016.0,,34ca70f4-9371-48c3-b9fb-2f8f1ed7949d
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,network voltag sourc,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,thing platform,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,paper internet,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc invert vsi,internet thing,1,0.0,2018.0,,2b56036d-2c5a-4c4a-b083-0545f00ef639
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag distribut network,sourc invert vsi,1,0.0,2016.0,,34ca70f4-9371-48c3-b9fb-2f8f1ed7949d
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),voltag distribut network,voltag sourc invert,1,0.0,2016.0,,34ca70f4-9371-48c3-b9fb-2f8f1ed7949d
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,sourc invert vsi,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,network voltag sourc,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,voltag sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),fourwir voltag,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut network,distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut network,energi sourc,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut network,sourc distribut,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut,distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut,energi sourc,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),sourc distribut,sourc distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),power sourc,energi sourc,1,0.0,2013.0,,33504a80-d26f-460a-82fe-b4bfb61678a3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,power sourc,1,0.0,2013.0,,33504a80-d26f-460a-82fe-b4bfb61678a3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,sourc distribut,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,sourc distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,network distribut system,1,0.0,2020.0,,60d42a35-58db-4fa6-938b-415c591f40a9
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,network distribut,1,0.0,2020.0,,60d42a35-58db-4fa6-938b-415c591f40a9
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),energi sourc,distribut system,1,0.0,2020.0,,60d42a35-58db-4fa6-938b-415c591f40a9
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,energi sourc,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,sourc distribut,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,sourc distribut network,1,0.0,2014.0,,19203055-2245-43df-9865-32fb31397d76
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,sourc invert vsi,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,network voltag sourc,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,voltag sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,invert vsi,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),distribut network,voltag sourc,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,sequenc threephas,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,sourc invert vsi,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,threephas fourwir,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,instal paper,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,distribut network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,voltag sourc invert,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,threephas fourwir voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,invert vsi,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,control threephas,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),network voltag sourc,voltag sourc,1,0.0,2016.0,,e3756d27-61e3-4667-80d0-0b90fe7e95d3
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),instal paper,distribut network,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
Cryptography and Security(90.82%) | Symbolic Computation(83.12%) | Information Theory(68.67%),instal paper,network voltag,1,0.0,2016.0,,6a867050-d85b-4894-b760-8079c8e1670e
