domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",filter object,particl filter,1,0.0,2011.0,,435aa544-a3e2-4588-9051-ace699345b96
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research bodi pose,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,particl filter bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",bodi research bodi,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,bodi research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,pose appear,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,research bodi,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,bodi research,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,research bodi pose,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",particl filter bodi,particl filter,1,0.0,2011.0,,33fa36a9-ad3e-4061-a27b-fbc976e2940d
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl filter,color histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl filter,research method,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl filter,histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl filter,particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research method,histogram particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research method,color histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research method,histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",research method,particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",color histogram particl,histogram particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",color histogram particl,research method,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",color histogram particl,histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",color histogram particl,particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl,histogram particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl,color histogram particl,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl,research method,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",histogram particl,particl filter,1,0.0,2017.0,,921417ca-8a1e-4a40-a0fa-d48737ba1650
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor daylif,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif health,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",daylif health monitor,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",health monitor etc,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",recognit varieti implement,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",fit monitor,monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,health monitor etc,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,type sensor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,recognit varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,daylif health monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,fit monitor daylif,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,varieti implement,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,sensor fit monitor,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
"Graphics(83.16%) | Computational Engineering, Finance, and Science(78.76%) | Other Computer Science(71.36%)",monitor daylif,monitor daylif health,1,0.0,2020.0,,30fabec7-44cc-4afe-81eb-9fad0d044f6e
