domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),energi electr suppli,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,gener electr,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,power suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,electr network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,forecast standalon,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,standalon power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,forecast standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr network,suppli system electr,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),gener electr,power consum,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),gener electr,electr network,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),gener electr,electr network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),gener electr,network power,1,0.0,2016.0,,e7dee4c8-7b4e-444d-8935-1953cf18a0d1
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,power suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,electr network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,forecast standalon,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,standalon power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,forecast standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,suppli system electr,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,cost energi,1,0.0,2021.0,,18a06f1a-ebe3-4d8c-b183-8567738d85b9
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,energi system,1,0.0,2021.0,,18a06f1a-ebe3-4d8c-b183-8567738d85b9
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,ciari system electr,1,0.0,2021.0,,18a06f1a-ebe3-4d8c-b183-8567738d85b9
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,factor energi system,1,0.0,2021.0,,18a06f1a-ebe3-4d8c-b183-8567738d85b9
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr,ciari system,1,0.0,2021.0,,18a06f1a-ebe3-4d8c-b183-8567738d85b9
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),world integr,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,transit energi,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,power suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,electr network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,forecast standalon,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,standalon power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,forecast standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),system electr network,suppli system electr,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,transit energi electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,system electr network,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,system electr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,energi electr suppli,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),transit energi,world integr,1,0.0,2017.0,,25fca553-98eb-460c-9b88-5f44b5a014da
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,solut power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,electr demand,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,solut power,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,power suppli system,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,electr network,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,system electr network,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,electr network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,system electr,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,forecast standalon,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,standalon power suppli,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,network approach,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,forecast standalon power,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli system electr,1,0.0,2018.0,,8fab23b2-962a-4b9c-a509-75134b526a8d
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli system microgrid,1,0.0,2018.0,,64483910-c23a-49a8-9a5a-dfccce539ba6
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,system microgrid,1,0.0,2018.0,,64483910-c23a-49a8-9a5a-dfccce539ba6
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,power output,1,0.0,2019.0,,56095be7-de05-4568-b306-9dd1c316ec65
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli system power,1,0.0,2019.0,,56095be7-de05-4568-b306-9dd1c316ec65
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,system power output,1,0.0,2019.0,,56095be7-de05-4568-b306-9dd1c316ec65
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,gener standalon power,1,0.0,2019.0,,56095be7-de05-4568-b306-9dd1c316ec65
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,system power,1,0.0,2019.0,,56095be7-de05-4568-b306-9dd1c316ec65
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),power suppli,suppli system commun,1,0.0,2019.0,,20a199e6-ec39-4f71-a7fc-0d78144a354e
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,solut power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,electr demand,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr grid,solut power,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,solut power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,electr demand,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,solut power,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr grid,suppli electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,solut power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,electr demand,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,solut power,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),suppli electr,suppli electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,electr demand,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,solut power,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),solut power suppli,suppli electr grid,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr demand,solut power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr demand,suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr demand,power suppli electr,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
Information Theory(89.9%) | Operating Systems(67.79%) | Emerging Technologies(67.01%),electr demand,power suppli,1,0.0,2014.0,,4cd76eab-c32d-4ccd-b883-2e6da4301ab8
