domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),network sumproduct,infer case,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),variablesha subject,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,infer case,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,model cutset,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,cutset network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network time infer,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,time infer,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network sumproduct network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network time,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,time infer case,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,model cutset network,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,network sumproduct,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network,cutset network sumproduct,1,0.0,2021.0,,2f7d5059-1d5b-445f-9a5a-2490b1248d66
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),circuit latent variablesha,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),latent variablesha subject,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),subject research,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,sumproduct network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),structur sumproduct network,circuit latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,structur sumproduct,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,structur sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,latent variablesha,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,network circuit,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,variablesha subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,sumproduct network,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,subject research,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,latent variablesha subject,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
Software Engineering(91.14%) | Systems and Control(77.42%) | Programming Languages(75.28%),sumproduct network circuit,network circuit latent,1,0.0,2016.0,,00961875-0a6e-453a-a1c5-c7eb17610292
