domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,buckboost convert paper,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,acdc buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas,acdc buckboost,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),effici duti cycl,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,stepup applic,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,cbc convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,acdc boostck,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,convert method,1,0.0,2018.0,,b8c84bca-44d7-4a73-b10f-84883d35d5b4
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,buckboost convert paper,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,acdc buckboost convert,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),topolog singlephas acdc,acdc buckboost,1,0.0,2020.0,,9fdfaf35-e194-4e42-a1ca-6dbc51d23a9b
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convers effici duti,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,acdc convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),convert convers effici,singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,singlephas acdc convert,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,effici duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,topolog singlephas acdc,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,convers effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,topolog singlephas,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,effici duti,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,convert convers,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,convert convers effici,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
Operating Systems(81.32%) | Computer Science and Game Theory(76.42%) | Programming Languages(61.13%),acdc convert convers,duti cycl,1,0.0,2015.0,,2eb55858-1eea-4601-861a-95bcef51b48e
