domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),platform featur,platform featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,platform featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,featur spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,grid system commun,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,grid technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,spectrum power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,grid system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,technolog platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system,platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system format,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,platform featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,featur spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,spectrum power,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid system commun,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,spectrum power system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid system,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,featur spectrum,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,technolog platform,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,technolog platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,platform featur,1,0.0,2020.0,,c6de4893-3868-4d56-bbc1-c055738b10f5
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid warn,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog,grid warn system,1,0.0,2021.0,,7fdc9dc5-8f41-4ea8-88c3-4cfa07c30e10
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),power system power,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),brief grid,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),grid technolog power,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,brief grid,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,grid technolog,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,technolog power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,power system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),system power system,system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power system,system power system,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power system,grid technolog power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power system,power system power,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
Information Theory(67.35%) | Emerging Technologies(64.23%) | Systems and Control(62.77%),technolog power system,system format,1,0.0,2011.0,,0cc32957-6fff-42a5-b6ec-bcee2b31617e
